N,num_threads,workload_seconds
1,1,1.273e-06
1,2,3.77698e-06
1,4,0.0233109
1,8,0.0166611
1,16,0.0155351
1,32,0.0449873
1,64,0.0633937
1,128,0.119977
1,256,0.088894
2,1,1.15199e-06
2,2,3.6409e-05
2,4,2.9195e-05
2,8,0.0146921
2,16,0.013671
2,32,0.0261016
2,64,0.0750882
2,128,0.0796122
2,256,0.0657691
4,1,1.59297e-06
4,2,3.0298e-05
4,4,6.0354e-05
4,8,5.1949e-05
4,16,0.0209893
4,32,0.0275038
4,64,0.062099
4,128,0.0139394
4,256,0.107882
8,1,1.50298e-06
8,2,2.3114e-05
8,4,6.0255e-05
8,8,0.000115309
8,16,0.000136368
8,32,0.0189926
8,64,0.0459349
8,128,0.0714961
8,256,0.131987
16,1,2.14402e-06
16,2,2.0038e-05
16,4,0.000132602
16,8,0.0208047
16,16,0.0217208
16,32,0.02424
16,64,0.0417187
16,128,0.0609193
16,256,0.0969385
32,1,3.09601e-06
32,2,1.3176e-05
32,4,4.6198e-05
32,8,0.0176952
32,16,0.0200029
32,32,0.0256742
32,64,0.0556919
32,128,0.0668735
32,256,0.0799046
64,1,7.91502e-06
64,2,6.0705e-05
64,4,5.1829e-05
64,8,0.000129927
64,16,0.0332682
64,32,0.055593
64,64,0.0649446
64,128,0.101936
64,256,0.111904
128,1,1.9627e-05
128,2,2.6961e-05
128,4,5.4202e-05
128,8,0.0117732
128,16,0.0220163
128,32,0.0351512
128,64,0.0285901
128,128,0.0861354
128,256,0.146079
256,1,5.0035e-05
256,2,6.5674e-05
256,4,0.00582825
256,8,0.0167975
256,16,0.0243469
256,32,0.0350139
256,64,0.0630494
256,128,0.0389937
256,256,0.477003
512,1,0.000161517
512,2,0.000138022
512,4,7.5864e-05
512,8,0.000589149
512,16,0.000265324
512,32,0.0131859
512,64,0.0569305
512,128,0.224727
512,256,0.0750703
1024,1,0.000611261
1024,2,0.000304418
1024,4,0.00026328
1024,8,0.0111792
1024,16,0.0043057
1024,32,0.0157777
1024,64,0.04584
1024,128,0.199446
1024,256,0.12036
2048,1,0.00345181
2048,2,0.000874421
2048,4,0.000346458
2048,8,0.0012299
2048,16,0.00248533
2048,32,0.0101448
2048,64,0.0527181
2048,128,0.220054
2048,256,0.248523
4096,1,0.038075
4096,2,0.00633475
4096,4,0.00247523
4096,8,0.0118827
4096,16,0.0288583
4096,32,0.0306818
4096,64,0.145668
4096,128,0.127092
4096,256,0.339461
8192,1,0.208016
8192,2,0.0383357
8192,4,0.0176989
8192,8,0.00222474
8192,16,0.0175653
8192,32,0.0217506
8192,64,0.231803
8192,128,0.10061
8192,256,0.322197
16384,1,1.34012
16384,2,0.231846
16384,4,0.0448184
16384,8,0.0186191
16384,16,0.0248408
16384,32,0.0236137
16384,64,0.108457
16384,128,0.145619
16384,256,0.602807
32768,1,5.35866
32768,2,0.984417
32768,4,0.153378
32768,8,0.100264
32768,16,0.049205
32768,32,0.0786161
32768,64,0.119163
32768,128,0.167734
32768,256,0.339997
65536,1,27.6979
65536,2,7.12426
65536,4,1.35483
65536,8,0.238558
65536,16,0.132695
65536,32,0.0946934
65536,64,0.417913
65536,128,0.343544
65536,256,1.56645
131072,1,129.54
131072,2,25.4039
131072,4,5.64947
131072,8,1.00064
131072,16,0.260578
131072,32,0.182958
131072,64,0.362183
131072,128,0.750963
131072,256,1.26022
262144,1,772.272
262144,2,193.078
262144,4,29.7405
262144,8,5.75952
262144,16,2.08607
262144,32,0.676546
262144,64,0.689045
262144,128,1.26899
262144,256,2.39392
