N,num_threads,wall_clock_time
2,1,2.7954e-05
2,2,0.000208025
2,4,0.000353541
2,8,0.000609888
2,16,0.0010731
2,32,0.00944349
2,64,0.00919949
2,128,0.0217496
2,256,0.0402863
4,1,1.8194e-05
4,2,0.000170233
4,4,0.000356566
4,8,0.000740145
4,16,0.00294413
4,32,0.00650799
4,64,0.02154
4,128,0.0372717
4,256,0.0387786
8,1,5.6928e-05
8,2,0.000524044
8,4,0.00132971
8,8,0.00213744
8,16,0.00176945
8,32,0.00764334
8,64,0.0230615
8,128,0.0225763
8,256,0.0531525
16,1,4.6068e-05
16,2,0.00032672
16,4,0.000414427
16,8,0.0010196
16,16,0.00331066
16,32,0.00397014
16,64,0.0186322
16,128,0.0179518
16,256,0.0324041
32,1,2.3955e-05
32,2,0.000164482
32,4,0.000295962
32,8,0.000460064
32,16,0.00177493
32,32,0.00280174
32,64,0.0191629
32,128,0.0370269
32,256,0.0591105
64,1,3.2291e-05
64,2,0.000149363
64,4,0.000284399
64,8,0.000716741
64,16,0.00192418
64,32,0.0091117
64,64,0.0133864
64,128,0.0275194
64,256,0.0457963
128,1,2.7873e-05
128,2,0.000128203
128,4,0.000289219
128,8,0.000676314
128,16,0.00278019
128,32,0.00702264
128,64,0.0222151
128,128,0.0306384
128,256,0.0332412
256,1,4.2721e-05
256,2,0.000227131
256,4,0.000425508
256,8,0.0012172
256,16,0.0022152
256,32,0.00585089
256,64,0.0135188
256,128,0.0278891
256,256,0.0478467
512,1,3.9585e-05
512,2,0.000197786
512,4,0.000299208
512,8,0.000443361
512,16,0.00157083
512,32,0.00647314
512,64,0.0224662
512,128,0.0269334
512,256,0.0609932
1024,1,6.892e-05
1024,2,0.000212404
1024,4,0.000345075
1024,8,0.000772135
1024,16,0.00302448
1024,32,0.00881488
1024,64,0.0220792
1024,128,0.027154
1024,256,0.0311684
2048,1,0.000132632
2048,2,0.000149704
2048,4,0.000238193
2048,8,0.000377266
2048,16,0.000760353
2048,32,0.0100444
2048,64,0.0182818
2048,128,0.0237183
2048,256,0.0475299
4096,1,0.000175693
4096,2,0.000182045
4096,4,0.000262669
4096,8,0.000478649
4096,16,0.00126585
4096,32,0.00896455
4096,64,0.0254977
4096,128,0.0347482
4096,256,0.0586974
8192,1,0.000446177
8192,2,0.000449543
8192,4,0.000900829
8192,8,0.000566295
8192,16,0.00117871
8192,32,0.0117963
8192,64,0.0221216
8192,128,0.0292415
8192,256,0.0498293
16384,1,0.000659732
16384,2,0.000495691
16384,4,0.000397474
16384,8,0.000469
16384,16,0.000874409
16384,32,0.0027443
16384,64,0.0125039
16384,128,0.030233
16384,256,0.0519279
32768,1,0.00124711
32768,2,0.00170973
32768,4,0.00134452
32768,8,0.00155528
32768,16,0.00266078
32768,32,0.00616408
32768,64,0.0194702
32768,128,0.0461368
32768,256,0.0827074
65536,1,0.00656604
65536,2,0.00285999
65536,4,0.00283669
65536,8,0.00360013
65536,16,0.00347659
65536,32,0.0107101
65536,64,0.0215013
65536,128,0.0377251
65536,256,0.0490416
131072,1,0.00873868
131072,2,0.00421246
131072,4,0.00276171
131072,8,0.00395946
131072,16,0.00275784
131072,32,0.00712088
131072,64,0.0142469
131072,128,0.0213617
131072,256,0.0420345
262144,1,0.00983463
262144,2,0.00531077
262144,4,0.00308938
262144,8,0.00204905
262144,16,0.00382088
262144,32,0.00458853
262144,64,0.0144683
262144,128,0.0304762
262144,256,0.0431737
524288,1,0.0196294
524288,2,0.0103382
524288,4,0.00809021
524288,8,0.00687295
524288,16,0.00699707
524288,32,0.0185696
524288,64,0.0179185
524288,128,0.0197127
524288,256,0.0629326
1048576,1,0.0854538
1048576,2,0.0290503
1048576,4,0.0159294
1048576,8,0.00914438
1048576,16,0.00540639
1048576,32,0.0102923
1048576,64,0.0139882
1048576,128,0.0317761
1048576,256,0.0570754
2097152,1,0.151693
2097152,2,0.0436172
2097152,4,0.0220325
2097152,8,0.0112387
2097152,16,0.0091775
2097152,32,0.00854681
2097152,64,0.00969673
2097152,128,0.025322
2097152,256,0.0441505
